# id	key	yes|no|edition  - hand verdicts on The Online Books Page candidates (ob_score.py)
398	pg19945	yes
749	olbp105257	yes
1711	fluf00081876	yes
1951	olbp33191	yes
1954	olbp19116	yes
1984	olbp90581	yes
2019	olbp39878	yes
2029	olbp19147	yes
2030	olbp19147	yes
2031	olbp19147	yes
3278	pg58256	yes
3492	olbp22268	yes
3496	olbp22269	yes
4304	olbp90482	yes
4309	olbp103431	yes
4436	olbp25227	yes
4437	olbp25227	yes
4683	olbp25475	yes
4804	olbp44145	yes
4906	pg42304	yes
5241	olbp41759	yes
6176	pg73132	yes
7714	olbp30705	yes
8003	olbp90482	yes
237	olbp103140	edition
342	olbp96186	edition
344	olbp96186	edition
345	olbp96186	edition
681	olbp87371	edition
1447	olbp78568	edition
1947	olbp19115	edition
1948	olbp19115	edition
1983	olbp90581	edition
350	olbp96186	no
825	olbp20112	no
1590	olbp85364	no
2116	olbp22900	no
2300	olbp30353	no
2428	olbp20483	no
2429	olbp20483	no
2634	olbp97107	no
2646	olbp13129	no
2648	olbp52753	no
2671	olbp100876	no
2684	olbp25686	no
2801	olbp101394	no
3143	olbp57306	no
4355	olbp57306	no
4543	olbp88489	no
6561	olbp80331	no
6714	olbp73327	no
7535	olbp52281	no
